id,label,uri,type,type_generic,predicate_type
71,12940 - black caraway seed (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03541294,food,food,
72,chocolate candy (with filled center),http://purl.obolibrary.org/obo/FOODON_03303767,food,food,
73,31530 - blended fat and oils (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03543153,food,food,
74,seed sprout,http://purl.obolibrary.org/obo/FOODON_03304313,food,food,
75,great water dock plant,http://purl.obolibrary.org/obo/FOODON_03414991,food,food,
76,20000 - deer; fresh fat tissue (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03542000,food,food,
77,12040 - common cotton seeds (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03541204,food,food,
78,langostino (frozen),http://purl.obolibrary.org/obo/FOODON_03308145,food,food,
79,orange juice solids,http://purl.obolibrary.org/obo/FOODON_03301102,food,food,
80,australian abalone,http://purl.obolibrary.org/obo/FOODON_03413543,food,food,
81,flan (artificially sweetened),http://purl.obolibrary.org/obo/FOODON_03304410,food,food,
82,scallop (shucked; raw),http://purl.obolibrary.org/obo/FOODON_03301544,food,food,
83,fat content 15-30%,http://purl.obolibrary.org/obo/FOODON_03530185,food,food,
84,diabetic preserves,http://purl.obolibrary.org/obo/FOODON_03307083,food,food,
85,blue marlin,http://purl.obolibrary.org/obo/FOODON_03412325,food,food,
86,ocellated turkey,http://purl.obolibrary.org/obo/FOODON_03414167,food,food,
87,41170 - bean curd sauce (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03544117,food,food,
88,whiting (frozen),http://purl.obolibrary.org/obo/FOODON_03309329,food,food,
89,seltzer water (flavored and sweetened),http://purl.obolibrary.org/obo/FOODON_03304659,food,food,
90,back bacon,http://purl.obolibrary.org/obo/FOODON_00003150,food,food,
91,40480 - spoonable desserts and ice creams (generic) (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03544048,food,food,
92,yellowfin tuna (canned),http://purl.obolibrary.org/obo/FOODON_03301167,food,food,
93,moreton bay chestnut black bean (raw),http://purl.obolibrary.org/obo/FOODON_03310375,food,food,
94,black fungus (food product),http://purl.obolibrary.org/obo/FOODON_03301078,food,food,
95,0220000 - bulb vegetables (ec),http://purl.obolibrary.org/obo/FOODON_03401229,food,food,
96,kamu,http://purl.obolibrary.org/obo/FOODON_03311566,food,food,
97,apple pie (baked),http://purl.obolibrary.org/obo/FOODON_03306761,food,food,
98,37080 - coffee with milk or cream (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03543708,food,food,
99,lemon cream sandwich wafer,http://purl.obolibrary.org/obo/FOODON_03305132,food,food,
100,27620 - cheese; langres (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03542762,food,food,
101,tapioca starch for syrup,http://purl.obolibrary.org/obo/FOODON_03317618,food,food,
102,colorado perch (raw),http://purl.obolibrary.org/obo/FOODON_03309379,food,food,
103,food toasting process,http://purl.obolibrary.org/obo/FOODON_03450010,food,food,formed as a result of
104,"""free"" label claim",http://purl.obolibrary.org/obo/FOODON_03510129,food,food,
